"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"QF04A","ART-04A","Silybo mariani-Urticion piluliferae Sissingh ex Br.-Bl. et O. de Bolòs 1958","Thistle-dominated ruderal vegetation of the Central Mediterranean"
"QF04B","ART-04B","Onopordion castellani Br.-Bl. et O. de Bolòs 1958 corr. Rivas-Mart. et al. 2001","Thistle-dominated ruderal vegetation of the Iberian Peninsula"
"QF04C","ART-04C","Onopordion illyrici Oberd. 1954","Thistle-dominated ruderal vegetation of the submediterranean regions of the Balkans"
"QF04D","ART-04D","Scolymion hispanici Morariu 1967","Thistle-dominated ruderal vegetation of the Black Sea seaboards"
"QF05","ART-05","Elytrigio repentis-Dittrichietalia viscosae Mucina ined.","Anthropogenic sub-ruderal and ruderal grasslands and herblands of submediterranean and mediterranean Southern Europe"
"QF05A","ART-05A","Inulo viscosae-Agropyrion repentis Biondi et Allegrezza 1996","Anthropogenic sub-ruderal and ruderal grasslands and herblands of the submediterranean regions of the Apennine and Balkan Peninsulas"
"QF05B","ART-05B","Arundion collinae S. Brullo, Giusso, Guarino et Sciandello in S. Brullo et al. 2010","Thermomediterranean sub-ruderal perennial terrestrial reed on wet clayey soils of the Southern Apennine Peninsula, Sicily, Hellas and Crete"
"QF05C","ART-05C","Bromo-Oryzopsion miliaceae O. de Bolòs 1970","Thermomediterranean sub-ruderal perennial grasslands on disturbed road verges of the Mediterranean"
"QF05D","ART-05D","Hyperico perforati-Ferulion communis Vicente Orellana et Galán de Mera 2008","Tall-herb ruderal communities of managed disturbed habitats in the meso- to supramediterranean belts of the Iberian Peninsula"
"QG","EPI","Epilobietea angustifolii Tx. et Preising ex von Rochow 1951","Tall-herb semi-natural perennial vegetation on disturbed forest edges, nutrient-rich riparian fringes an in forest clearings in the temperate and boreal zones of Eurasia"
"QG01","EPI-01","Galeopsio-Senecionetalia sylvatici Passarge 1981 nom. conserv. propos.","Tall-herb perennial semi-natural vegetation on acidic soils on forest margins and clearings of the Eurosiberian Region"
"QG01A","EPI-01A","Epilobion angustifolii Oberd. 1957","Tall-herb perennial semi-natural vegetation on acidic soils of forest margins and in forest clearings in the boreal and nemoral zones of Europe"
"QG01B","EPI-01B","Linarion niveae Rivas-Mart. 1964","Tall-herb perennial subspontaneous vegetation on acidic soils of forest margins and clearings of the submediterranean Iberian Peninsula"
"QG02","EPI-02","Circaeo lutetianae-Stachyetalia sylvaticae Passarge 1967 nom. conserv. propos.","Ruderal and semi-natural fringe mesic tall-herb vegetation of tall-herbs on nutrient- and base-rich soils of cool-temperate and submediterranean Europe"
"QG02A","EPI-02A","Fragarion vescae Tx. ex von Rochow 1951 nom. conserv. propos.","Semi-ruderal herb-rich clearing vegetation on nutrient-rich calcareous soils in the nemoral zone of Central and Western Europe"
"QG02B","EPI-02B","Impatienti noli-tangere-Stachyion sylvaticae Görs ex Mucina 1993","Semi-ruderal tall-herb vegetation of shaded mesic forest margins and clearings on loamy soils in the colline and submontane belts of Central Europe"
"QG02C","EPI-02C","Aegopodion podagrariae Tx. 1967 nom. conserv. propos.","Semi-ruderal herb-rich clearing vegetation on mesic margins and clearings of forests and scrub in the temperate and subboreal zones of Europe"
"QG03","EPI-03","Arctio lappae-Artemisietalia vulgaris Dengler 2002","Ruderal vegetation dominated by short-lived perennials on mesic loamy soils of the low-altitude cool-temperate Central Europe and at high-altitudes of submediterranean Europe"
"QG03A","EPI-03A","Arction lappae Tx. 1937","Ruderal vegetation of short-lived perennials on mesic loamy soils of cool-temperate Europe"
"QG03B","EPI-03B","Balloto-Conion maculati S. Brullo et Marcenò 1985","Tall-herb perennial ruderal vegetation in mesic habitats in the submontane and montane belts of submediterranean Europe"
"QG04","EPI-04","Galio-Alliarietalia Oberd. in Görs et T. Müller 1969 ","Ruderal and semi-natural thermophilous fringe vegetation of short-lived herbs on nutrient-rich soils in the submontane and montane belts of submediterranean Europe"
"QG04A","EPI-04A","Geo urbani-Alliarion officinalis Lohmeyer et Oberd. in Görs et T. Müller 1969","Ruderal and semi-natural fringe thermophilous vegetation of short-lived low herbs on nutrient-rich soils of temperate Europe"
"QG04B","EPI-04B","Anthriscion nemorosae S. Brullo in S. Brullo et Marcenò 1985","Ruderal and semi-natural thermophilous fringe vegetation of short-lived herbs on nutrient-rich soils in the submontane and montane belts of submediterranean Europe"
"QG05","EPI-05","Convolvuletalia sepium Tx. ex Moor 1958","Semi-natural fringe vegetation on banks of rivers and other water bodies of temperate Europe and the Mediterranean"
"QG05A","EPI-05A","Senecionion fluviatilis Tx. ex Moor 1958","Tall-herb fringe vegetation on nutrient-rich river banks and in ditches of Central Europe"
"QG05B","EPI-05B","Archangelicion litoralis Scamoni et Passarge 1963","Tall-herb fringe vegetation on river banks of Central and Eastern Europe"
"QG05C","EPI-05C","Nardosmion laevigatae Klotz et Köck 1986","Tall-herb fringe vegetation on nutrient-rich river banks of mountain rivers and streams of the Southern Urals"
"QG05D","EPI-05D","Cynancho-Convolvulion sepium Rivas Goday et Rivas-Mart. ex Rivas-Mart. 1977","Western Mediterranean tall-herb vegetation in nutrient-rich riparian habitats"
"QG05E","EPI-05E","Dorycnio recti-Rumicion conglomerati Gradstein et Smittenberg 1977","Central and Eastern Mediterranean tall-herb vegetation in nutrient-rich riparian habitats"
"QG05F","EPI-05F","Ipomoeo acuminatae-Ageratinion adenophorae Espírito-Santo et al. 2004","Canarian-Madeirean tall-herb riparian vegetation rich in neophytes"
"QH","ARC","Matricario-Poetea arcticae A. Ishbirdin in Sumina 2012","Anthropogenic vegetation in human-disturbed habitats in the subarctic and Arctic zones of Russia, Siberia and North America"
"QH01","ARC-01","Chamerio-Betuletalia nanae Khusainov et al. in Sumina 2012","Anthropogenic vegetation in human-disturbed habitats in the subarctic and Arctic zones of Russia, Siberia and North America"
"QH01A","ARC-01A","Chamerio angustifolii-Matricarion hookeri A. Ishbirdin et al. 1996","Anthropogenic vegetation on disturbed soils characterised by cryoturbation and solifluction of Arctic Northern Russia"
"QI","BID","Bidentetea Tx. et al. ex von Rochow 1951","Summer-annual pioneer vegetation of seasonally flooded nutrient-rich river alluvia, lacustrine banks and heavily nutrient-loaded anthropogenic habitats of boreo-temperate Europe and North Africa"
"QI01","BID-01","Bidentetalia Br.-Bl. et Tx. ex Klika et Hadač 1944","Summer-annual pioneer vegetation of seasonally flooded nutrient-rich river alluvia, lacustrine banks and heavily nutrient-loaded anthropogenic habitats of boreo-temperate Europe"
"QI01A","BID-01A","Bidention tripartitae Nordhagen ex Klika et Hadač 1944","Summer-annual pioneer vegetation of periodically nutrient-rich river banks and drained muddy bottoms of eutrophic lakes of boreo-temperate Europe"
"QI01B","BID-01B","Chenopodion rubri (Tx. in Poli et J. Tx. 1960) Hilbig et Jage 1972","Summer-annual pioneer vegetation in heavily nutrient-loaded and saline ruderal habitats of temperate Europe"
"QI02","BID-02","Paspalo-Heleochloetalia Br.-Bl. ex Rivas Goday 1956","Summer-annual pioneer vegetation of periodically flooded subsaline nutrient-rich river alluvia of the mediterranean regions of Europe and North Africa"
"QI02A","BID-02A","Paspalo-Agrostion semiverticillati Br.-Bl. in Br.-Bl. et al. 1952","Summer-annual pioneer vegetation of periodically flooded subsaline nutrient-rich river alluvia of the mediterranean regions of Europe and North Africa"
"QJ","ORY","Oryzetea sativae Miyawaki 1960","Weed vegetation of the rice fields of Eurasia"
"QJ01","ORY-01","Cypero difformis-Echinochloetalia oryzoidis O. de Bolòs et Masclans 1955","Weed vegetation of the rice fields of Eurasia"
"QJ01A","ORY-01A","Oryzo sativae-Echinochloion oryzoidis O. de Bolòs et Masclans 1955","Weed vegetation of the rice fields of the warm-temperate and cool-temperate Europe"
"RA","FUN","Funarietea hygrometricae von Hübschmann 1957","Hemerophilous bryophyte vegetation on burned sites, bones and animal droppings"
"RA01","FUN-01","Splachnetalia lutei Hadač et Klika ex von Hübschmann 1957","Hemerophilous bryophyte vegetation on bones and animal droppings of the alpine and arctic regions"
"RA01A","FUN-01A","Splachnion lutei Hadač et Klika ex von Hübschmann 1957","Hemerophilous bryophyte vegetation on bones and animal droppings of the alpine and arctic regions"
"RA02","FUN-02","Funarietalia hygrometricae von Hübschmann 1957","Hemerophilous bryophyte vegetation on the soil surface of burned sites and fire places"
"RA02A","FUN-02A","Funarion hygrometricae von Hübschmann 1957","Hemerophilous bryophyte vegetation on the soil surface of burned sites and fire places"
"RB","CER","Ceratodonto purpurei-Polytrichetea piliferi Mohan 1978","Bryophyte and lichen vegetation on dry acid to subneutral, silty-sandy and gravelly soils"
"RB01","CER-01","Polytrichetalia piliferi von Hübschmann 1975","Bryophyte vegetation on dry, acid to subneutral, silty-sandy and gravelly soils"
"RB01A","CER-01A","Polytrichion piliferi Šmarda 1947","Bryophyte vegetation on dry acid sandy dunes in the nemoral and boreal zones"
"RB01B","CER-01B","Campylopodion polytrichoidis Giacomini 1951","Bryophyte vegetation on dry, acid to subneutral, silty-sandy and gravelly soils of (sub)mediterranean distribution"
"RB02","CER-02","Peltigeretalia Klement 1949","Lichen vegetation on dry, acid to subneutral, silty-sandy and gravelly soils"
"RB02A","CER-02A","Baeomycetion rufi Klement 1952","Pioneer lichen crust on dry, acid to subneutral, silty-sandy soils"
"RB02B","CER-02B","Cladonion arbusculae Klement 1949 corr. Bültmann in Mucina et al. 2016","Macrolichen vegetation on nutrient-poor, dry, acid to subneutral, silty-sandy and gravelly soils"
"RB02C","CER-02C","Cladonion rei Paus 1997","Macrolichen vegetation on slightly nutrient enriched, dry, acid to subneutral, silty-sandy and gravelly soils"
"RB02D","CER-02D","Cetrarion nivalis Klement 1955","Chionophobous lichen vegetation on acid soil surfaces and on humus over calcareous soils of arctic-alpine distribution"
"RB02E","CER-02E","Solorinion croceae Klement 1955","Chionophilous lichen vegetation of arctic-alpine distribution"
"RB02F","CER-02F","Lecanorion verrucosae Kalb 1970","Lichen crusts on plant debris and on bryophyte mats over calcareous substrates in the arctic zone and the alpine belt"
"RB02G","CER-02G","Ochrolechion tartareae Klement 1955","Lichen crusts on plant debris and on bryophyte mats over non-calcareous substrates in the arctic zone and the alpine belt"
"RC","PSO","Psoretea decipientis Mattick ex Follmann 1974","Bryophyte and lichen vegetation on subneutral and calcareous soils"
"RC01","PSO-01","Barbuletalia unguiculatae von Hübschmann 1960","Meso-hemerophilous and euhemerophilous pioneer bryophyte vegetation on denuded temporary dry and very dry loamy soils"
"RC01A","PSO-01A","Phascion Waldheim 1944 nom. inval. ad interim","Euhemerophilous pioneer bryophyte vegetation on temporary dry and dry loamy soils in the nemoral and boreal zones"
"RC01B","PSO-01B","Grimaldion fragrantis Šmarda et Hadač in Hadač et Šmarda 1944","Pioneer bryophyte vegetation on dry loamy soil in grasslands in the nemoral zone and the Mediterranean"
"RC01C","PSO-01C","Mannion androgynae Ros et Guerra 1987","Pioneer bryophyte vegetation on subneutral dry soils in Mediterranean garrigues"
"RC01D","PSO-01D","Cephaloziello baumgartneri-Southbyion nigrellae Guerra et Gil 1982","Pioneer bryophyte vegetation on calcareous soils in crevices in sheltered habitats"
"RC01E","PSO-01E","Tortellion flavovirentis Guerra ex Guerra et Puche 1984","Pioneer bryophyte vegetation on subneutral and dry soils under the influence of sea-borne salt spray"
"RC01F","PSO-01F","Aloino bifrontis-Crossidion crassinervis Ros et Guerra ex Marstaller 2006","Pioneer bryophyte vegetation on dry exposed soil surfaces in arid Mediterranean grasslands and pseudosteppes"
"RC02","PSO-02","Toninietalia coeruleonigricantis Hadač 1962","Lichen vegetation on subneutral to highly basic soils"
"RC02A","PSO-02A","Toninion coeruleonigricantis Hadač in Klika 1948","Lichen vegetation on moderately dry, subneutral to highly basic soils"
"RC02B","PSO-02B","Sphaerothallio-Xanthoparmelion vagantis Crespo et Barreno 1978","Lichen vegetation on dry, subneutral to highly basic soils in the semiarid and arid regions of Southern and Eastern Europe"
"RC03","PSO-03","Fulgensietalia desertori Crespo et Barreno 1975","Strongly xerophilous lichen vegetation on subneutral to highly basic soils or in rock fissures of Southern Europe"
"RC03A","PSO-03A","Psorion savicii Crespo et Barreno 1975","Strongly xerophilous lichen vegetation on subneutral to highly basic soils"
"RC03B","PSO-03B","Protoblastenion testaceae Barreno 1979","Chomophytic communities of squamulose psorid lichens in narrow fissures on calcareous or other base-rich rocks"
"RD","HYL","Hylocomietea splendentis Gillet ex Marstaller 1992","Wefts of large competitive bryophytes on soils in the final stages of bryophyte succession"
"RD01","HYL-01","Hylocomietalia splendentis Gillet ex Vadam 1990","Communities of large weft-forming competitive bryophytes on soils in the final stages of bryophyte succession"
"RD01A","HYL-01A","Rhytidion rugosi Ştefureac 1941","Communities of large weft-forming pleurocarpous bryophytes on calcareous soils on dry, exposed rocks in grasslands and open forests"
"RD01B","HYL-01B","Pleurozion schreberi von Krusenstjerna 1945","Communities of large weft-forming pleurocarpous bryophytes on nutrient-poor and acid raw humus in grasslands, heath and forests"
"RD01C","HYL-01C","Rhytidiadelphion squarrosi von Krusenstjerna 1945","Communities of large weft-forming hemerophilous pleurocarpous bryophytes on nutrient-rich soils"
"RD01D","HYL-01D","Eurhynchion striati Waldheim 1944","Communities of large weft-forming pleurocarpous bryophytes on nutrient-rich moist soils in shaded forest habitats"
"RD01E","HYL-01E","Climacion dendroidis Ştefureac 1941","Communities of large weft-forming bryophytes on moist and wet organic soils"
"RD01F","HYL-01F","Fissidention taxifolii Marstaller 2006","Communities of competitive pleurocarpous bryophytes on moderately basic to moderately acidic loamy soils in grasslands and forests"
"RE","CAM","Campylopodetea vaporarii Brullo et al. 2004","Bryophyte vegetation of the Mediterranean fumaroles"
"RE01","CAM-01","Campylopodetalia vaporarii Brullo et al. 2004","Bryophyte vegetation of the Mediterranean fumaroles"
"RE01A","CAM-01A","Campylopodion vaporarii Brullo et al. 2004","Bryophyte vegetation of the Mediterranean fumaroles"
"SA","PLA","Platyhypnidio-Fontinalietea antipyreticae Philippi 1956","Bryophyte vegetation with occasional lichens in running water courses and cascades growing submerged in water and splash zones"
"SA01","PLA-01","Hygrohypnetalia Krajina 1933","Bryophyte vegetation with occasional lichens in oligotrophic, clear, cool and acidic running waters and cascades in mountainous regions"
